dt,open,high,low,close,volume,yhat,custom
2020-03-31,6394.45,6523.23,6321.4,6410.44,72337.595259,6867.437982751114,7.128964357378187
2020-04-01,6412.14,6679.94,6150.11,6642.92,97500.7524,7190.160177002282,8.237946219467968
2020-04-02,6643.36,7198.0,6551.0,6794.09,149299.906871,7209.718689069309,6.117503434150992
2020-04-03,6793.86,7048.0,6602.1,6734.1,104080.276939,7513.486973025023,11.573736253174479
2020-04-04,6732.97,6990.41,6650.01,6856.99,72990.861139,7595.933218197412,10.776495491424262
2020-04-05,6857.41,6895.54,6677.52,6772.78,49685.356983,7695.39499549665,13.622397235649917
2020-04-06,6772.78,7355.14,6765.0,7329.9,118052.000832,7715.896270851329,5.2660509809319285
2020-04-07,7329.9,7459.69,7077.0,7197.32,103585.168918,7759.560420257758,7.811802452270541
2020-04-08,7197.32,7420.0,7150.0,7361.28,76059.145838,7680.760668459196,4.340015166644875
2020-04-09,7360.26,7371.92,7108.08,7283.54,61094.872417,7444.778400482988,2.213736733552479
2020-04-10,7283.54,7295.75,6739.98,6858.92,104674.623375,7345.983929757799,7.101175254381142
2020-04-11,6858.92,6944.3,6760.0,6876.83,45470.293206,6989.307495476569,1.635600930611473
2020-04-12,6876.84,7177.0,6780.0,6903.79,73868.666501,6768.372719671544,-1.9614918809589574
2020-04-13,6903.79,6903.79,6575.0,6837.91,96415.476573,6690.191341880929,-2.160289593151574
2020-04-14,6838.04,6978.0,6754.28,6868.7,69068.623285,6475.236745133555,-5.728351141649001
2020-04-15,6868.57,6933.0,6605.0,6621.24,61571.384994,6429.384365671454,-2.897578615614982
2020-04-16,6621.25,7190.0,6468.27,7101.94,125009.857539,6207.615427406079,-12.592679923991481
2020-04-17,7101.99,7148.12,6972.98,7027.55,54126.509763,6279.585061654795,-10.643324321352466
2020-04-18,7026.78,7293.08,7014.4,7248.6,49488.542819,6266.313484250821,-13.551396348938823
2020-04-19,7248.6,7266.15,7055.6,7120.74,45664.86393,6408.1246244786425,-10.007602798604601
2020-04-20,7121.4,7220.0,6751.0,6826.83,90149.49137,6578.099915738107,-3.643419922012023
2020-04-21,6828.98,6940.0,6762.0,6841.37,60109.710808,6452.57011586648,-5.683070556533563
2020-04-22,6841.36,7156.38,6818.0,7125.14,61486.377334,6122.289409692416,-14.074819446461188
2020-04-23,7125.12,7738.0,7020.0,7482.39,102773.569561,6085.856611180864,-18.664268887603242
2020-04-24,7483.96,7615.96,7388.0,7505.0,60182.119939,6565.709108105906,-12.515534868675468
2020-04-25,7505.0,7705.0,7431.07,7538.67,43874.427726,6824.067595457427,-9.479157524371978
2020-04-26,7539.03,7700.0,7480.0,7693.1,50522.616209,7014.0954594330715,-8.82614993392688
2020-04-27,7693.1,7792.02,7606.0,7774.62,65441.339576,7397.3171912345315,-4.853006433310804
2020-04-28,7773.51,7780.0,7659.12,7738.98,46302.752638,7632.130424943884,-1.3806674142602258
2020-04-29,7738.58,8952.89,7710.05,8778.57,183546.887514,7579.218951185341,-13.662259898988772
2020-04-30,8778.58,9460.0,8401.0,8620.0,206277.214124,8487.234236971668,-1.5402060676140603
2020-05-01,8620.0,9059.18,8613.56,8826.96,91468.815059,8721.44849644975,-1.1953322950398493
2020-05-02,8825.67,9010.0,8753.0,8972.05,59002.08755,8496.157847349095,-5.30416295775106
2020-05-03,8972.58,9200.0,8712.0,8894.16,90126.065643,9181.598327153797,3.2317647439870347
2020-05-04,8894.15,8950.0,8522.0,8871.96,84418.512331,9343.831615577155,5.318685111036978
2020-05-05,8871.92,9118.58,8760.0,9021.83,76480.765342,9135.625369743371,1.2613335625185949
2020-05-06,9021.36,9395.0,8906.21,9142.92,105925.30242,9751.656554303632,6.658010288875241
2020-05-07,9143.4,10067.0,9021.0,9986.4,147154.611378,9483.8809211152,-5.032034355571572
2020-05-08,9986.3,10035.96,9705.0,9800.01,100683.7964,9782.16775803425,-0.18206350774898059
2020-05-09,9800.02,9914.25,9520.0,9539.4,81950.679567,9938.372252161498,4.182362120903815
2020-05-10,9539.1,9574.83,8117.0,8722.77,183865.182028,10082.212967248635,15.584991547967386
2020-05-11,8722.77,9168.0,8200.0,8561.52,168807.251832,9895.589143602092,15.582152977533095
2020-05-12,8562.04,8978.26,8528.78,8810.79,86522.780066,9816.890984133746,11.418964521158095
2020-05-13,8810.99,9398.0,8792.99,9309.37,92466.274018,9725.752872212304,4.47272879058737
2020-05-14,9309.35,9939.0,9256.76,9791.98,129565.37747,9772.91677477293,-0.19468202781326943
